时间戳,右臂最大压强(kPa),右臂最大压强坐标,右臂平均压强(kPa),右臂受力面积(cm²),右臂数据,右臂点数,右臂总压力(N),备注
1787222639937,22.0,"(1, 20)",9.1,38,"[5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,8,15,21,17,13,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,13,22,17,12,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,16,10,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,16,10,8,6,3,0,0,0,0,0,0,0,0,0,0]",38,34.7,
1787222640049,74.0,"(0, 20)",17.5,50,"[0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,3,5,6,7,41,74,41,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,3,8,13,36,59,39,19,14,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,31,44,37,30,24,17,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,31,44,37,30,24,17,11,5,3,0,0,0,0,0,0,0,0]",50,87.4,
1787222640160,35.0,"(2, 22)",16.2,56,"[0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,16,32,21,10,19,27,18,9,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,14,27,21,15,18,22,22,22,19,16,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,21,19,18,16,26,35,30,25,17,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,21,19,18,16,26,35,30,25,17,9,5,0,0,0,0,0,0,0,0]",56,90.8,
1787222640273,42.0,"(0, 16)",11.5,72,"[0,0,0,6,12,6,0,0,0,0,0,0,0,3,6,24,42,26,10,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,0,0,0,5,9,19,29,22,14,13,12,10,7,8,10,7,5,5,4,2,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,6,12,14,16,17,18,17,16,15,14,17,19,15,10,9,8,4,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,6,12,14,16,17,18,17,16,15,14,17,19,15,10,9,8,4,0,0,0,0,0,0]",72,83.0,
1787222640383,44.0,"(0, 16)",12.5,89,"[0,0,0,6,12,10,7,14,21,19,17,13,9,19,29,37,44,26,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,9,9,12,14,19,25,16,8,14,21,28,34,21,8,6,4,2,0,4,7,4,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,8,11,9,7,20,32,19,6,10,13,19,24,16,7,7,7,4,0,7,14,7,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,8,11,9,7,20,32,19,6,10,13,19,24,16,7,7,7,4,0,7,14,7,0,0,0,0,0,0,0,0,0,0]",89,110.9,
1787222640496,68.0,"(0, 8)",20.7,66,"[0,0,0,4,7,11,14,41,68,46,23,17,10,17,24,30,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,11,15,38,61,45,29,19,10,15,20,23,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,5,11,16,35,54,44,34,22,9,12,15,17,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,5,11,16,35,54,44,34,22,9,12,15,17,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",66,136.4,
1787222640611,71.0,"(2, 8)",19.8,72,"[0,0,0,3,5,5,5,36,66,49,32,21,10,14,18,26,33,17,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,9,39,69,52,36,23,10,14,19,21,24,12,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,13,42,71,56,40,25,10,15,19,17,15,8,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,13,42,71,56,40,25,10,15,19,17,15,8,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",72,142.5,
1787222640725,78.0,"(2, 8)",19.3,98,"[0,0,0,0,0,0,0,16,32,44,55,34,12,16,19,35,51,26,0,13,25,13,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,1,3,3,3,29,55,50,46,30,15,25,35,38,41,22,3,9,15,8,0,0,0,1,3,1,0,0,0,5,10,6,3,3,0,0,0,3,5,5,5,42,78,57,36,27,17,34,50,40,30,18,5,5,5,3,0,0,0,3,5,3,0,0,0,6,12,9,5,5,0,0,0,3,5,5,5,42,78,57,36,27,17,34,50,40,30,18,5,5,5,3,0,0,0,3,5,3,0,0,0,6,12,9,5,5]",98,189.6,
1787222640844,90.0,"(0, 20)",22.6,109,"[0,0,0,0,0,0,0,3,6,18,30,20,10,15,19,40,60,33,6,48,90,45,0,5,9,8,6,6,6,13,19,13,6,3,0,0,0,0,0,2,4,2,0,8,16,21,27,21,15,25,36,43,50,29,9,33,57,29,0,2,5,14,23,21,20,26,33,20,7,4,0,0,0,0,0,4,7,4,0,13,26,25,23,22,20,36,52,46,39,26,12,18,24,12,0,0,0,20,39,37,34,40,46,27,8,4,0,0,0,0,0,4,7,4,0,13,26,25,23,22,20,36,52,46,39,26,12,18,24,12,0,0,0,20,39,37,34,40,46,27,8,4,0,0]",109,246.7,
1787222640954,109.0,"(0, 20)",30.4,120,"[0,0,0,0,0,0,0,3,5,18,30,22,13,16,19,41,62,36,9,59,109,58,6,21,35,52,68,62,55,50,45,26,6,3,0,0,0,0,0,2,4,3,3,6,9,15,21,19,17,25,33,42,52,33,15,40,66,37,8,18,28,52,76,68,60,61,62,34,6,3,0,0,0,0,0,4,8,7,5,9,12,12,12,17,21,34,46,44,41,31,20,21,22,16,10,16,21,52,83,74,64,72,79,42,5,3,0,0,0,0,0,4,8,7,5,9,12,12,12,17,21,34,46,44,41,31,20,21,22,16,10,16,21,52,83,74,64,72,79,42,5,3,0,0]",120,365.3,
