帧数,秒数(s),右臂最大压强(N/cm²),右臂最大压强坐标,右臂平均压强(N/cm²),右臂受力面积(cm²),右臂压强数据(N/cm²),右臂点数,右臂压力总和(N),右臂平均梯度（N/cm³）,右臂最大梯度（N/cm³）,右臂框选1最大压强(N/cm²),右臂框选1最大压强坐标,右臂框选1平均压强(N/cm²),右臂框选1受力面积(cm²),右臂框选1压强数据(N/cm²),右臂框选1点数,右臂框选1压力总和(N),右臂框选1平均梯度（N/cm³）,右臂框选1最大梯度（N/cm³）,右臂框选2最大压强(N/cm²),右臂框选2最大压强坐标,右臂框选2平均压强(N/cm²),右臂框选2受力面积(cm²),右臂框选2压强数据(N/cm²),右臂框选2点数,右臂框选2压力总和(N),右臂框选2平均梯度（N/cm³）,右臂框选2最大梯度（N/cm³）,框选坐标
39,3.155,0.07,"(1, 30)",0.05,81.25,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05]",52,4.0,0.0057,0.0080,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
40,3.238,0.07,"(1, 30)",0.05,75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.06]",48,3.6,0.0062,0.0120,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
41,3.320,0.07,"(1, 30)",0.05,118.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.06,0.06,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.06,0.06,0.05,0.04,0.04]",76,7.6,0.0047,0.0165,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.05,"(1, 20)",0.04,18.75,"[0,0,0.03,0.04,0.04,0.05,0,0,0.04,0.04,0.04,0.05,0,0,0.04,0.04,0.04,0.05]",12,1.2,0.0066,0.0165,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
42,3.404,0.07,"(0, 20)",0.06,153.125,"[0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05]",98,9.8,0.0043,0.0283,0.05,"(1, 5)",0.05,9.375,"[0.05,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0]",6,0.6,0.0100,0.0200,0.07,"(1, 19)",0.06,28.125,"[0.05,0.05,0.06,0.06,0.07,0.07,0.05,0.05,0.06,0.06,0.07,0.07,0.05,0.05,0.06,0.06,0.07,0.07]",18,1.8,0.0046,0.0200,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
43,3.487,0.09,"(1, 20)",0.06,179.6875,"[0,0,0,0.05,0.05,0.05,0.06,0.05,0.05,0,0,0,0,0,0,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0.05,0.05,0.06,0.06,0.05,0.05,0,0,0,0,0,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0,0,0,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05]",115,11.5,0.0063,0.0283,0.06,"(1, 5)",0.05,21.875,"[0.06,0.06,0.05,0.05,0,0,0,0,0.06,0.06,0.05,0.05,0.05,0,0,0,0.06,0.06,0.05,0.05,0.05,0,0,0]",14,1.4,0.0078,0.0283,0.09,"(1, 20)",0.07,28.125,"[0.05,0.06,0.06,0.07,0.08,0.09,0.05,0.06,0.06,0.07,0.08,0.09,0.05,0.06,0.06,0.07,0.08,0.09]",18,1.8,0.0055,0.0080,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
44,3.570,0.07,"(1, 30)",0.05,132.8125,"[0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.05]",85,8.5,0.0044,0.0226,0.04,"(1, 6)",0.04,1.5625,"[0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,0.1,0.0160,0.0160,0.06,"(1, 20)",0.05,26.5625,"[0,0.04,0.04,0.05,0.05,0.06,0.04,0.04,0.04,0.05,0.05,0.06,0.04,0.04,0.04,0.05,0.05,0.06]",17,1.7,0.0066,0.0226,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
45,3.653,0.08,"(2, 30)",0.05,81.25,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.08,0.08,0.07,0.06,0.06]",52,4.0,0.0070,0.0126,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
46,3.736,0.08,"(2, 32)",0.05,68.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.08,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.08,0.07,0.06,0.06]",44,3.6,0.0075,0.0126,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
47,3.819,0.08,"(2, 32)",0.05,68.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.08,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.08,0.07,0.06,0.06]",44,3.6,0.0075,0.0126,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
48,3.902,0.08,"(2, 30)",0.05,68.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.05,0.07,0.08,0.08,0.08,0.07,0.06,0.06]",44,3.6,0.0081,0.0126,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
